E_elc_Ry	ks1/2J1/2
0.00081	0
0.00161	0
0.00241	0
0.00321	0
0.00401	0
0.00481	0
0.00561	0
0.00641	0
0.00801	-2.290337081
0.00881	-2.290460553
0.00961	-2.290604647
0.01041	-2.290725305
0.01121	-2.290869493
0.01201	-2.29099312
0.01281	-2.291137397
0.01361	-2.2912611
0.01441	-2.291381975
0.01521	-2.291505753
0.01601	-2.291650204
0.01681	-2.291959128
0.01761	-2.29203038
0.01841	-2.292216308
0.01921	-2.292272648
0.02001	-2.292411703
0.02081	-2.292379737
0.02161	-2.292465279
0.02241	-2.292589385
0.02321	-2.292563067
0.02401	-2.292666745
0.02481	-2.292818068
0.02561	-2.292938412
0.02641	-2.293036355
0.02721	-2.293104081
0.02801	-2.293257455
0.02881	-2.293392898
0.02961	-2.293629182
0.03041	-2.29384479
0.03121	-2.29426791
0.03201	-2.294634469
0.03281	-2.294909915
0.03361	-2.295117712
0.03441	-2.294470497
0.03521	-2.29459245
0.03601	-2.294717174
0.03681	-2.29486001
0.03761	-2.295002905
0.03841	-2.295125046
0.03921	-2.295247233
0.04001	-2.295369466
0.04081	-2.295491743
0.04161	-2.295634906
0.04241	-2.295757282
0.04321	-2.295903236
0.04401	-2.296025704
0.04481	-2.296171754
0.04561	-2.296317852
0.04641	-2.29644046
0.04721	-2.296586654
0.04801	-2.29668846
0.04881	-2.296834743
0.04961	-2.296981073
0.05041	-2.297103908
0.05121	-2.297250334
0.05201	-2.297375881
0.05281	-2.297498849
0.05361	-2.297645413
0.05441	-2.297792024
0.05521	-2.297894179
0.05601	-2.29804088
0.05681	-2.298164075
0.05761	-2.298289898
0.05841	-2.298436736
0.05921	-2.298560066
0.06001	-2.298686007
0.06081	-2.298809424
0.06161	-2.298956447
0.06241	-2.299058944
0.06321	-2.299206057
0.06401	-2.299329654
0.06481	-2.299453297
0.06561	-2.299600554
0.06641	-2.299724291
0.06721	-2.299848074
0.06801	-2.299990453
0.06881	-2.300104312
0.06961	-2.298187998
0.07041	-2.300446391
0.07121	-2.300446793
0.07201	-2.300574425
0.07281	-2.300708389
0.07361	-2.300846127
0.07441	-2.300970263
0.07521	-2.301115556
0.07601	-2.301239791
0.07681	-2.301364072
0.07761	-2.30161766
0.07841	-2.301570495
0.07921	-2.301549357
0.08001	-2.301864093
0.08081	-2.301967441
0.08161	-2.302115577
0.08241	-2.302240172
0.08321	-2.302367226
0.08401	-2.302491909
0.08481	-2.302640232
0.08561	-2.302743811
0.08641	-2.302868629
0.08721	-2.30301709
0.08801	-2.303120784
0.08881	-2.303269336
0.08961	-2.303394336
0.09041	-2.303521747
0.09121	-2.303646836
0.09201	-2.303795576
0.09281	-2.303899501
0.09361	-2.304048332
0.09441	-2.304173603
0.09521	-2.304301253
0.09601	-2.304426613
0.09681	-2.304575632
0.09761	-2.304703402
0.09841	-2.304828899
0.09921	-2.304978058
0.10001	-2.305082332
0.10081	-2.305231582
0.10161	-2.30535955
0.10241	-2.305485273
0.10321	-2.305613319
0.10401	-2.305762752
0.10481	-2.305888612
0.10561	-2.306016778
0.10641	-2.306166352
0.10721	-2.306270972
0.10801	-2.306420636
0.10881	-2.30654896
0.10961	-2.306675088
0.11041	-2.306803489
0.11121	-2.306953337
0.11201	-2.307058187
0.11281	-2.307208126
0.11361	-2.307336685
0.11441	-2.307463082
0.11521	-2.307591719
0.11601	-2.307720393
0.11681	-2.307846922
0.11761	-2.307975674
0.11841	-2.308125931
0.11921	-2.308231123
0.12001	-2.308381472
0.12081	-2.30848674
0.12161	-2.30863718
0.12241	-2.308740381
0.12321	-2.308921269
0.12401	-2.309019993
0.12481	-2.309120956
0.12561	-2.309239441
0.12641	-2.309388015
0.12721	-2.309517223
0.12801	-2.309644362
0.12881	-2.309771549
0.12961	-2.309922437
0.13041	-2.310032333
0.13121	-2.310157563
0.13201	-2.310265431
0.13281	-2.310392833
0.13361	-2.310543941
0.13441	-2.310673502
0.13521	-2.310801043
0.13601	-2.310930683
0.13681	-2.310993469
0.13761	-2.311209657
0.13841	-2.311315756
0.13921	-2.311445554
0.14001	-2.311551724
0.14081	-2.311703244
0.14161	-2.311833159
0.14241	-2.311961104
0.14321	-2.312091098
0.14401	-2.312219133
0.14481	-2.312349207
0.14561	-2.312479317
0.14641	-2.312607486
0.14721	-2.312737676
0.14801	-2.312865936
0.14881	-2.312996205
0.14961	-2.313126512
0.15041	-2.313254905
0.15121	-2.313385291
0.15201	-2.313513775
0.15281	-2.313644241
0.15361	-2.313796498
0.15441	-2.313903362
0.15521	-2.314033945
0.15601	-2.314162653
0.15681	-2.314293316
0.15761	-2.314445803
0.15841	-2.314552859
0.15921	-2.314683639
0.16001	-2.314836263
0.16081	-2.314943433
0.16161	-2.31509615
0.16241	-2.315227091
0.16321	-2.315334375
0.16401	-2.31548723
0.16481	-2.315618288
0.16561	-2.315725687
0.16641	-2.315878679
0.16721	-2.316009855
0.16801	-2.316139241
0.16881	-2.316270498
0.16961	-2.316401791
0.17041	-2.316555014
0.17121	-2.316662687
0.17201	-2.316794098
0.17281	-2.316925547
0.17361	-2.317055247
0.17441	-2.317186776
0.17521	-2.317318342
0.17601	-2.317448177
0.17681	-2.317579825
0.17761	-2.317711509
0.17841	-2.317819522
0.17921	-2.317973245
0.18001	-2.318105048
0.18081	-2.318213176
0.18161	-2.318367037
0.18241	-2.318498958
0.18321	-2.318607203
0.18401	-2.318737485
0.18481	-2.318866109
0.18561	-2.318984694
0.18641	-2.319154044
0.18721	-2.319252294
0.18801	-2.319401426
0.18881	-2.319509924
0.18961	-2.319640504
0.19041	-2.3197728
0.19121	-2.319903472
0.19201	-2.32003585
0.19281	-2.320144541
0.19361	-2.320299073
0.19441	-2.320409484
0.19521	-2.320540378
0.19601	-2.320672949
0.19681	-2.320781831
0.19761	-2.320914477
