E_elc_Ry	kp3/2J1/2 6s[1/2]
0.000801	0
0.001601	0
0.002401	0
0.003201	0
0.004001	0
0.004801	0
0.005601	0
0.006401	0
0.008001	-0.586220167
0.008801	-0.586781261
0.009601	-0.587351099
0.010401	-0.58793477
0.011201	-0.588521435
0.012001	-0.589105701
0.012801	-0.589713835
0.013601	-0.590320252
0.014401	-0.590941908
0.015201	-0.591586416
0.016001	-0.592302492
0.016801	-0.593022711
0.017601	-0.593732317
0.018401	-0.594383957
0.019201	-0.595081995
0.020001	-0.595796923
0.020801	-0.596511293
0.021601	-0.597120777
0.022401	-0.597869471
0.023201	-0.598673365
0.024001	-0.599503512
0.024801	-0.600326356
0.025601	-0.601213564
0.026401	-0.602099645
0.027201	-0.603017067
0.028001	-0.60399025
0.028801	-0.604993216
0.029601	-0.606026549
0.030401	-0.607108127
0.031201	-0.608243113
0.032001	-0.60943525
0.032801	-0.610708724
0.033601	-0.612010818
0.034401	-0.613407764
0.035201	-0.614886046
0.036001	-0.616467673
0.036801	-0.618153252
0.037601	-0.619937609
0.038401	-0.621902006
0.039201	-0.623996805
0.040001	-0.626299023
0.040801	-0.628820145
0.041601	-0.631558029
0.042401	-0.634661436
0.043201	-0.638075318
0.044001	-0.641961931
0.044801	-0.64638395
0.045601	-0.651490846
0.046401	-0.657461529
0.047201	-0.664546903
0.048001	-0.673135033
0.048801	-0.683783264
0.049601	-0.697343111
0.050401	-0.715267789
0.051201	-0.740075825
0.052001	-0.776832067
0.052801	-0.836633825
0.053601	-0.951022203
0.054401	-1.236734766
0.055201	-2.167857301
0.056001	-3.093745695
0.056801	2.905643401
0.057601	2.791956985
0.058401	2.732224249
0.059201	2.695569757
0.060001	2.67078859
0.060801	2.652910214
0.061601	2.639374137
0.062401	2.628739543
0.063201	2.620173918
0.064001	2.613096107
0.064801	2.607134601
0.065601	2.602047298
0.066401	2.597639457
0.067201	2.593769279
0.068001	2.590351305
0.068801	2.587292832
0.069601	2.584447845
0.070401	2.582055037
0.071201	2.579756637
0.072001	2.577695322
0.072801	2.575768669
